 rho spower powden powden_e                            powden_i powden_cl
  0.4422E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4460E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4499E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4537E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4576E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4615E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4653E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4692E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4731E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4769E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4808E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4846E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4885E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4924E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.4962E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5001E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5039E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.5078E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5117E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5155E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.5194E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
